id,input_tokens,feat_1,feat_2,feat_3,priority,output
343,T_39 T_21 T_13 T_38 T_19,-0.507,46.47,1.083,5,1-8-2
344,T_39 T_10 T_21 T_19,-0.471,97.76,0.462,3,0-3-4
345,T_19 T_02 T_13 T_17 T_39,0.232,67.8,0.324,1,0-3-2
346,T_39 T_15 T_19 T_05,-1.448,40.72,1.423,4,0-5-3
347,T_30 T_39 T_19 T_17,-1.407,2.61,5.264,5,1-3-3
348,T_08 T_28 T_19 T_13 T_39,-0.718,56.54,0.995,2,1-3-4
349,T_16 T_39 T_13 T_19,-0.213,9.61,0.089,1,1-5-3
350,T_39 T_19 T_17 T_06,0.311,83.44,2.449,5,0-3-4
351,T_19 T_17 T_25 T_39 T_21,1.475,75.25,0.688,4,1-6-1
352,T_20 T_19 T_33 T_39 T_01,0.858,46.05,0.562,5,0-9-3
353,T_01 T_19 T_07 T_39 T_17,-0.16,42.92,0.784,4,1-3-1
354,T_33 T_19 T_39 T_09,-0.019,89.73,2.573,1,1-4-1
355,T_39 T_22 T_19 T_23,-1.003,28.85,3.417,3,1-3-4
356,T_19 T_24 T_39 T_33,-0.019,24.9,1.774,4,0-7-3
357,T_08 T_39 T_19 T_26,-0.289,93.92,0.779,4,1-4-1
358,T_01 T_18 T_19 T_39,0.323,80.92,0.744,1,1-8-2
359,T_19 T_33 T_39 T_11,-0.827,82.06,0.265,1,1-7-4
360,T_29 T_39 T_17 T_19,0.519,19.52,5.415,2,0-8-2
361,T_35 T_08 T_19 T_39,1.533,14.33,2.033,1,0-3-2
362,T_05 T_13 T_27 T_39 T_19,-0.109,2.6,0.055,5,1-5-4
363,T_39 T_08 T_34 T_19 T_14,0.402,23.7,2.172,4,0-3-2
364,T_32 T_39 T_21 T_19,0.69,77.42,1.185,3,0-3-4
365,T_00 T_39 T_05 T_19,-0.401,24.0,7.191,1,0-3-2
366,T_38 T_21 T_03 T_39 T_05,0.224,72.91,3.419,4,0-8-3
367,T_22 T_03 T_02 T_39 T_13,0.013,25.19,0.376,3,1-3-3
368,T_15 T_14 T_03 T_39 T_17,0.098,39.53,2.547,2,1-5-4
369,T_03 T_30 T_39 T_01 T_05,-0.773,98.32,1.329,5,0-3-4
370,T_22 T_39 T_03 T_28,0.025,24.48,0.414,2,0-3-0
371,T_39 T_03 T_14 T_16 T_13,0.498,37.64,2.4,1,0-5-4
372,T_39 T_03 T_33 T_08 T_06,1.451,30.11,1.585,5,1-3-0
373,T_33 T_25 T_39 T_03 T_01,0.959,10.96,0.062,2,0-6-2
374,T_13 T_03 T_20 T_39,2.153,48.99,2.08,4,1-9-4
375,T_09 T_03 T_39 T_05,-0.767,37.87,2.016,1,0-4-2
376,T_39 T_03 T_24 T_14,0.872,69.49,0.311,2,1-7-4
377,T_22 T_03 T_39 T_14 T_31,0.183,81.76,0.858,5,0-5-4
378,T_03 T_26 T_08 T_22 T_39,2.19,54.42,1.763,5,0-4-2
379,T_39 T_03 T_22 T_18 T_13,-0.808,3.22,0.299,3,0-8-3
380,T_37 T_11 T_22 T_03 T_39,-0.84,61.89,3.831,5,0-7-0
381,T_03 T_33 T_37 T_29 T_39,-0.599,5.54,0.056,5,1-8-3
382,T_34 T_37 T_39 T_03,-2.124,61.64,0.217,1,1-3-3
383,T_33 T_12 T_21 T_39 T_03,-0.526,68.5,0.247,5,1-7-3
384,T_03 T_13 T_08 T_00 T_39,-0.759,19.78,1.502,3,1-3-3
385,T_38 T_10 T_39 T_13 T_17,0.15,81.93,1.936,5,1-8-0
386,T_39 T_15 T_38 T_13,0.342,91.11,1.034,3,1-8-4
387,T_38 T_30 T_39 T_13,1.876,81.31,0.681,4,0-8-4
388,T_39 T_22 T_28 T_38,0.95,30.51,3.314,3,0-8-0
389,T_39 T_01 T_16 T_38,-0.577,58.66,0.141,1,0-8-4
390,T_06 T_08 T_38 T_39,-0.898,91.48,0.658,2,1-8-0
391,T_33 T_39 T_08 T_25 T_38,0.492,32.07,0.08,2,0-8-2
392,T_17 T_38 T_39 T_08 T_20,-1.32,82.0,0.028,4,1-9-4
393,T_08 T_39 T_38 T_07,1.831,0.95,0.872,1,0-8-2
394,T_39 T_38 T_14 T_37 T_09,1.179,0.36,0.433,4,0-8-2
395,T_23 T_39 T_38 T_17 T_22,-0.469,75.97,0.625,4,0-8-0
396,T_24 T_38 T_01 T_39,-1.713,76.14,3.44,5,1-8-4
397,T_38 T_33 T_39 T_31,1.354,78.9,0.356,5,0-8-4
398,T_38 T_26 T_39 T_08 T_37,-0.115,93.0,3.03,1,0-8-2
399,T_21 T_38 T_18 T_39,1.238,11.79,2.248,2,0-8-3
400,T_13 T_21 T_11 T_39 T_38,-1.594,23.2,0.79,3,0-8-0
401,T_38 T_39 T_05 T_29 T_22,-0.599,90.37,1.582,5,1-8-3
402,T_13 T_35 T_01 T_38 T_39,0.005,17.72,1.176,1,1-8-3
403,T_37 T_27 T_39 T_38,0.047,68.22,0.275,1,0-8-0
404,T_39 T_08 T_34 T_38 T_01,-0.45,53.05,4.754,2,1-8-3
405,T_38 T_22 T_37 T_39 T_32,0.623,8.32,1.686,1,1-8-0
406,T_39 T_08 T_38 T_12,-1.068,28.53,4.245,1,1-8-3
407,T_21 T_39 T_38 T_00 T_05,-0.142,52.04,3.473,2,1-8-3
408,T_14 T_10 T_39 T_02 T_33,0.12,85.24,0.166,5,0-3-0
409,T_39 T_14 T_10 T_30 T_05,0.514,70.75,0.465,2,1-3-1
410,T_28 T_17 T_10 T_39,0.712,62.19,0.314,4,1-3-2
411,T_33 T_13 T_16 T_10 T_39,-1.125,49.6,3.553,5,1-5-1
412,T_10 T_01 T_39 T_25,-1.534,29.87,3.967,4,1-6-4
413,T_10 T_17 T_20 T_01 T_39,1.278,11.92,1.501,1,0-9-1
414,T_07 T_10 T_39 T_01,0.332,40.91,0.22,4,1-3-4
415,T_39 T_09 T_10 T_22,-0.748,2.85,0.291,2,1-4-4
416,T_39 T_13 T_23 T_10,1.551,21.11,3.359,2,1-3-2
417,T_21 T_10 T_24 T_39,0.116,43.25,5.296,3,0-7-1
418,T_08 T_01 T_10 T_39 T_31,1.179,41.86,0.445,1,1-5-1
419,T_26 T_10 T_13 T_39,0.068,4.43,0.022,2,1-4-4
420,T_10 T_13 T_21 T_39 T_18,2.061,58.91,0.804,5,1-8-0
421,T_10 T_37 T_39 T_11,1.755,54.97,0.062,2,1-7-2
422,T_10 T_29 T_39 T_17,-0.249,7.81,3.52,5,0-8-0
423,T_22 T_10 T_39 T_27,0.972,94.32,1.353,1,1-5-2
424,T_33 T_32 T_08 T_39 T_10,0.645,9.94,2.054,3,0-3-2
425,T_13 T_10 T_01 T_39 T_12,1.369,85.48,1.06,3,0-7-0
426,T_10 T_05 T_39 T_00 T_21,-0.965,0.03,0.848,4,0-3-0
427,T_15 T_17 T_02 T_39,0.686,88.23,0.503,2,0-5-4
428,T_21 T_30 T_02 T_39 T_22,1.058,1.97,2.944,1,1-3-4
429,T_02 T_28 T_39 T_08,-1.759,75.78,2.378,4,1-3-0
430,T_37 T_39 T_02 T_13 T_16,-1.183,36.17,0.895,1,1-5-4
431,T_02 T_06 T_21 T_39,-2.039,73.82,0.775,1,0-3-0
432,T_05 T_25 T_02 T_39,-0.269,40.17,0.002,4,1-6-2
433,T_20 T_39 T_02 T_13,0.718,7.09,0.131,1,0-9-4
434,T_39 T_08 T_07 T_02 T_01,1.502,76.75,1.952,4,1-3-2
435,T_02 T_09 T_39 T_21,0.074,7.13,1.446,2,1-4-2
436,T_39 T_23 T_14 T_02,1.629,92.21,1.141,4,1-3-0
437,T_02 T_39 T_24 T_21,-1.38,5.1,3.515,2,0-7-4
438,T_31 T_39 T_17 T_02 T_21,-1.703,47.93,1.402,3,1-5-4
439,T_05 T_02 T_26 T_33 T_39,-0.056,72.3,0.971,4,1-4-2
440,T_08 T_18 T_21 T_02 T_39,0.384,39.32,0.352,3,1-8-3
441,T_29 T_14 T_39 T_02 T_37,-0.033,21.72,3.437,4,0-8-3
442,T_35 T_22 T_39 T_02,-2.067,75.91,1.717,1,0-3-3
443,T_37 T_02 T_39 T_27,-0.089,78.43,0.194,3,1-5-0
444,T_02 T_34 T_21 T_13 T_39,-1.304,92.27,2.093,5,0-3-3
445,T_02 T_00 T_13 T_39,0.67,37.62,1.107,5,0-3-3
446,T_15 T_39 T_30 T_14,0.367,50.63,3.336,5,1-5-0
447,T_39 T_15 T_14 T_28,-0.94,36.31,5.025,3,1-5-1
448,T_39 T_22 T_15 T_16,-0.514,25.71,1.835,2,1-5-0
449,T_08 T_15 T_06 T_39,-1.059,75.1,2.631,4,0-5-1
450,T_20 T_15 T_39 T_08,-0.063,33.97,0.117,1,0-9-0
451,T_15 T_07 T_39 T_08,0.955,42.81,1.643,1,1-5-3
452,T_22 T_17 T_15 T_09 T_39,-0.986,40.37,2.816,3,1-5-3
453,T_13 T_15 T_23 T_39 T_05,0.504,71.27,1.373,5,1-5-1
454,T_15 T_24 T_33 T_39,-0.53,91.78,1.801,1,0-7-0
455,T_22 T_33 T_15 T_26 T_39,-0.793,66.68,4.584,1,1-5-3
456,T_39 T_15 T_13 T_37 T_18,-0.107,47.16,0.442,2,1-8-4
457,T_15 T_17 T_11 T_39 T_05,-1.035,77.92,0.207,1,1-7-1
458,T_39 T_15 T_29 T_14 T_01,-0.554,64.1,2.347,1,0-8-4
459,T_15 T_39 T_35 T_33 T_37,-1.198,6.06,3.462,4,0-5-4
460,T_39 T_14 T_15 T_27,1.965,9.57,3.801,1,1-5-1
461,T_15 T_39 T_05 T_08 T_34,0.035,3.79,2.052,4,0-5-4
462,T_32 T_21 T_39 T_15 T_13,-0.7,45.68,3.582,5,0-5-1
463,T_12 T_13 T_15 T_39,0.214,82.59,2.412,2,0-7-4
464,T_21 T_39 T_15 T_00,-0.112,31.31,0.183,1,0-5-4
465,T_28 T_37 T_30 T_21 T_39,-0.221,38.42,2.871,2,0-3-1
466,T_14 T_16 T_30 T_33 T_39,0.614,90.95,0.395,2,0-5-0
467,T_39 T_30 T_33 T_06,0.758,83.69,0.54,2,1-3-1
468,T_30 T_37 T_39 T_07,-0.531,66.5,1.004,3,0-3-3
469,T_09 T_13 T_39 T_30,-0.576,26.68,0.755,4,0-4-3
470,T_24 T_39 T_13 T_30 T_14,-0.275,11.7,0.776,2,1-7-0
471,T_31 T_39 T_30 T_08 T_17,-2.302,1.61,0.371,5,0-5-0
472,T_22 T_39 T_26 T_30 T_33,-1.515,10.7,0.696,1,0-4-3
473,T_39 T_18 T_22 T_30,1.367,29.26,0.04,2,0-8-4
474,T_11 T_08 T_30 T_39,1.645,55.18,1.281,2,0-7-1
475,T_39 T_33 T_35 T_30,-0.249,6.4,2.927,1,1-3-4
476,T_21 T_30 T_39 T_17 T_27,0.577,13.62,3.965,5,0-5-1
477,T_30 T_32 T_08 T_37 T_39,0.311,18.11,3.434,2,1-3-1
478,T_37 T_39 T_12 T_30 T_01,3.079,63.2,1.077,2,1-7-4
479,T_14 T_39 T_30 T_00,1.12,61.58,2.622,5,1-3-4
480,T_05 T_16 T_39 T_28,-0.128,55.08,0.679,2,0-5-1
481,T_28 T_14 T_25 T_39,-0.956,25.05,0.114,5,0-6-4
482,T_37 T_39 T_28 T_33 T_20,-1.606,37.11,2.254,2,1-9-1
483,T_17 T_28 T_13 T_07 T_39,0.203,9.67,2.093,1,0-3-4
484,T_01 T_28 T_09 T_39 T_08,-0.756,22.65,3.235,5,0-4-4
485,T_28 T_39 T_22 T_23,-1.422,89.77,1.915,1,0-3-2
486,T_05 T_24 T_17 T_39 T_28,-0.647,97.97,0.341,1,1-7-1
487,T_17 T_28 T_37 T_39 T_31,-1.082,64.77,3.837,2,0-5-1
488,T_29 T_39 T_33 T_28,1.687,91.68,1.974,5,1-8-0
489,T_14 T_35 T_01 T_39 T_28,0.882,64.27,3.296,3,1-3-0
490,T_39 T_27 T_28 T_17,-0.008,3.32,2.975,1,0-5-2
491,T_05 T_34 T_39 T_37 T_28,1.48,99.68,0.707,1,1-3-0
492,T_05 T_28 T_32 T_39,0.077,9.9,0.155,1,1-3-2
493,T_28 T_39 T_05 T_12,-0.861,68.26,0.388,2,1-7-0
494,T_21 T_06 T_39 T_16,1.523,25.28,0.195,2,1-5-1
495,T_16 T_21 T_39 T_25,0.539,39.2,0.558,1,0-6-3
496,T_16 T_08 T_20 T_17 T_39,-1.037,64.59,1.231,2,1-9-0
497,T_17 T_07 T_39 T_16,-0.19,43.65,4.746,2,0-5-3
498,T_16 T_39 T_17 T_05 T_09,-0.876,25.05,4.112,2,0-5-3
499,T_39 T_23 T_16 T_08,-1.383,33.44,2.536,4,0-5-1
500,T_14 T_39 T_21 T_16 T_24,0.926,34.15,0.049,5,1-7-0
501,T_31 T_39 T_16 T_33 T_17,1.909,95.93,0.835,2,0-5-0
502,T_13 T_26 T_16 T_17 T_39,-1.399,79.86,2.294,4,0-5-3
503,T_05 T_11 T_39 T_16 T_22,0.563,45.85,0.276,4,0-7-1
504,T_16 T_01 T_37 T_29 T_39,-0.651,19.98,3.23,2,1-8-4
505,T_05 T_39 T_16 T_35,-0.487,81.1,4.92,4,1-5-4
506,T_27 T_01 T_16 T_39,-0.592,15.72,0.874,3,0-5-1
507,T_32 T_17 T_21 T_16 T_39,-0.864,21.05,2.447,4,1-5-1
508,T_16 T_12 T_39 T_13 T_22,0.049,36.6,0.321,5,1-7-4
509,T_05 T_06 T_39 T_25,-0.831,88.03,2.348,4,1-6-4
510,T_07 T_39 T_06 T_22 T_21,0.27,13.18,0.043,2,1-3-4
511,T_06 T_23 T_39 T_08,-0.05,12.22,0.327,1,1-3-2
512,T_24 T_21 T_14 T_39 T_06,-0.239,49.4,2.475,3,0-7-1
513,T_37 T_01 T_26 T_39 T_06,-0.908,27.64,2.489,4,1-4-4
514,T_06 T_39 T_37 T_17 T_18,-0.577,56.87,2.05,3,1-8-0
515,T_39 T_06 T_11 T_13,0.755,45.16,1.298,5,1-7-2
516,T_39 T_14 T_06 T_21 T_29,0.501,43.5,2.247,4,0-8-0
517,T_39 T_06 T_17 T_35,-0.978,11.2,2.973,4,0-3-0
518,T_06 T_27 T_39 T_21 T_08,0.099,14.1,6.791,3,1-5-2
519,T_39 T_01 T_06 T_34,0.751,82.11,4.39,4,0-3-0
520,T_32 T_22 T_08 T_06 T_39,-1.669,88.59,3.165,4,0-3-2
521,T_39 T_06 T_12 T_14,0.543,23.47,2.373,1,0-7-0
522,T_00 T_06 T_13 T_39,-0.663,11.35,1.707,3,0-3-0
523,T_39 T_33 T_25 T_20,0.571,5.34,0.257,2,1-9-3
524,T_05 T_09 T_39 T_25 T_08,-0.763,60.83,0.362,2,0-6-1
525,T_22 T_25 T_08 T_24 T_39,-1.805,71.54,3.433,5,1-7-3
526,T_25 T_39 T_22 T_31,-1.628,37.28,3.252,1,0-6-3
527,T_22 T_01 T_39 T_26 T_25,0.048,67.97,1.906,3,0-6-1
528,T_08 T_18 T_39 T_25,0.26,71.3,1.155,3,0-8-2
529,T_39 T_22 T_25 T_13 T_11,-0.904,93.53,0.053,1,0-7-4
530,T_25 T_05 T_39 T_29 T_14,0.639,6.49,0.793,1,1-8-2
531,T_25 T_05 T_33 T_27 T_39,-1.662,19.23,1.092,5,0-6-4
532,T_22 T_25 T_34 T_39,-0.066,6.85,1.33,2,1-6-2
533,T_22 T_25 T_32 T_17 T_39,-1.211,86.8,5.299,3,1-6-4
534,T_25 T_39 T_12 T_33,-0.652,79.26,0.23,1,1-7-2
535,T_33 T_39 T_00 T_25,0.047,57.46,1.463,3,1-6-2
536,T_22 T_20 T_07 T_33 T_39,-0.86,8.37,0.917,2,1-9-3
537,T_01 T_20 T_17 T_39 T_09,-0.385,27.33,9.23,3,1-9-3
538,T_20 T_39 T_14 T_23,1.006,29.77,3.959,3,1-9-1
539,T_39 T_33 T_22 T_24 T_20,-0.577,56.07,1.155,1,0-9-0
540,T_20 T_21 T_31 T_08 T_39,0.836,25.8,16.194,1,1-9-0
541,T_08 T_20 T_39 T_26,-1.13,7.3,1.443,1,1-9-3
542,T_20 T_39 T_22 T_18,0.53,73.08,0.366,2,1-9-4
543,T_29 T_21 T_20 T_39 T_33,1.442,29.91,1.623,4,0-9-4
544,T_39 T_20 T_05 T_35,-2.472,45.24,0.513,2,0-9-4
545,T_27 T_39 T_20 T_22,-0.797,12.77,2.023,1,1-9-1
546,T_08 T_34 T_39 T_20 T_13,0.577,80.25,5.543,5,0-9-4
547,T_32 T_39 T_08 T_20,-0.203,56.55,3.085,3,0-9-1
548,T_20 T_12 T_39 T_17 T_21,0.371,90.16,0.638,3,0-9-4
549,T_39 T_20 T_37 T_00,-0.604,49.55,0.704,3,0-9-4
550,T_37 T_07 T_09 T_39 T_33,0.087,94.14,0.144,3,0-4-1
551,T_23 T_39 T_07 T_22 T_14,-0.156,89.19,0.673,5,0-3-4
552,T_07 T_37 T_24 T_39,1.168,57.65,0.194,1,1-7-3
553,T_31 T_17 T_39 T_07,0.254,93.39,1.384,4,0-5-3
554,T_08 T_39 T_26 T_07,0.338,32.31,2.464,3,0-4-1
555,T_07 T_21 T_39 T_13 T_18,-0.412,36.56,2.782,4,0-8-2
556,T_21 T_07 T_39 T_22 T_11,-0.488,4.55,0.123,2,0-7-4
557,T_37 T_33 T_07 T_29 T_39,-0.433,58.92,0.831,2,1-8-2
558,T_35 T_07 T_22 T_01 T_39,0.394,72.19,0.68,3,1-3-2
559,T_39 T_07 T_17 T_34,-0.421,77.35,0.22,1,1-3-2
560,T_39 T_07 T_08 T_32,0.29,14.98,0.9,5,1-3-4
561,T_07 T_00 T_14 T_39,2.075,44.42,0.711,3,1-3-2
562,T_39 T_09 T_23 T_22 T_08,0.871,17.69,2.013,2,0-4-4
563,T_33 T_24 T_09 T_39 T_14,-0.326,66.21,4.296,2,1-7-3
564,T_08 T_31 T_09 T_39 T_14,1.201,15.79,1.213,4,0-5-3
565,T_39 T_37 T_26 T_09,-0.408,90.42,2.746,5,0-4-1
566,T_39 T_18 T_09 T_05 T_22,-2.038,23.06,0.316,3,0-8-2
567,T_09 T_22 T_39 T_11,-1.008,29.14,4.507,1,0-7-4
568,T_39 T_35 T_08 T_09,-1.871,85.09,0.331,4,1-4-2
569,T_39 T_27 T_33 T_09,-0.352,45.85,0.427,5,0-5-4
570,T_37 T_39 T_34 T_09,0.018,2.4,0.225,4,1-4-2
571,T_21 T_32 T_39 T_09,1.676,49.46,0.741,1,1-4-4
572,T_24 T_13 T_23 T_08 T_39,0.327,8.45,1.608,2,1-7-1
573,T_23 T_22 T_39 T_26,-0.219,98.53,8.845,3,0-4-4
574,T_18 T_23 T_39 T_05,0.829,58.81,3.154,3,0-8-0
575,T_23 T_11 T_01 T_39 T_33,-2.211,25.65,0.957,1,0-7-2
576,T_08 T_29 T_39 T_23,0.236,56.37,1.715,3,1-8-0
577,T_35 T_23 T_08 T_39 T_33,0.771,7.69,1.953,3,1-3-0
578,T_27 T_39 T_37 T_01 T_23,-1.479,79.99,3.46,4,0-5-2
579,T_12 T_39 T_23 T_01,1.144,92.53,2.667,1,1-7-0
580,T_23 T_00 T_37 T_39,0.338,87.44,1.685,4,1-3-0
581,T_24 T_39 T_31 T_01,-0.415,34.18,2.212,3,1-7-0
582,T_26 T_08 T_22 T_39 T_24,0.633,32.58,2.74,5,1-7-3
583,T_21 T_18 T_05 T_39 T_24,2.271,3.51,0.286,5,1-8-4
584,T_17 T_24 T_05 T_11 T_39,0.182,65.14,0.447,4,1-7-1
585,T_17 T_24 T_34 T_14 T_39,0.248,53.49,2.333,2,0-7-4
586,T_24 T_32 T_39 T_05 T_01,-0.459,45.93,3.8,2,0-7-1
587,T_21 T_39 T_12 T_24 T_33,-0.85,90.76,1.053,1,0-7-4
588,T_24 T_39 T_05 T_00,0.83,16.79,7.813,5,0-7-4
589,T_39 T_18 T_37 T_13 T_31,-0.856,0.97,0.487,5,0-8-4
590,T_33 T_17 T_11 T_31 T_39,0.072,7.33,1.078,4,0-7-1
591,T_31 T_39 T_29 T_37,-0.478,22.34,0.951,3,1-8-4
592,T_35 T_21 T_39 T_31,0.479,3.33,5.327,1,1-5-4
593,T_37 T_39 T_33 T_27 T_31,0.334,50.28,0.672,4,0-5-1
594,T_05 T_34 T_31 T_39 T_14,1.038,31.41,1.273,2,1-5-4
595,T_39 T_33 T_31 T_32,-0.51,18.05,0.415,3,1-5-1
596,T_31 T_39 T_00 T_14 T_37,-0.27,75.01,1.473,1,1-5-4
597,T_18 T_22 T_26 T_39,-0.979,20.45,3.895,3,0-8-2
598,T_17 T_13 T_11 T_39 T_26,-0.444,68.76,0.725,2,0-7-4
599,T_08 T_26 T_39 T_35,0.377,34.93,3.33,4,1-4-2
600,T_39 T_27 T_26 T_13,0.757,51.18,4.845,4,0-5-4
601,T_39 T_34 T_22 T_26,-0.922,93.39,0.152,5,1-4-2
602,T_39 T_32 T_26 T_17 T_22,0.87,3.74,2.825,4,1-4-4
603,T_12 T_14 T_39 T_26,1.356,50.03,0.59,5,1-7-2
604,T_39 T_01 T_00 T_08 T_26,0.413,85.44,0.386,4,1-4-2
605,T_13 T_11 T_39 T_18,1.877,58.8,1.838,1,0-8-0
606,T_14 T_17 T_29 T_39 T_18,-0.774,27.69,2.446,2,1-8-3
607,T_05 T_39 T_35 T_18,-1.245,39.77,1.004,3,1-8-3
608,T_39 T_33 T_18 T_27,-1.779,68.03,0.08,2,0-8-0
609,T_39 T_18 T_34 T_22,1.496,89.08,4.787,2,1-8-3
610,T_39 T_22 T_18 T_32,0.654,4.11,2.624,5,1-8-0
611,T_05 T_39 T_18 T_08 T_12,-0.056,7.15,0.634,5,1-8-3
612,T_33 T_00 T_39 T_08 T_18,0.28,32.51,1.374,1,1-8-3
613,T_39 T_35 T_14 T_11,-1.125,23.28,0.056,3,1-7-0
614,T_11 T_33 T_27 T_14 T_39,2.446,26.49,0.829,4,0-7-2
615,T_39 T_34 T_17 T_11 T_37,0.129,22.13,1.479,4,1-7-0
616,T_39 T_01 T_32 T_11,0.109,19.58,1.456,2,1-7-2
617,T_12 T_39 T_11 T_22,0.726,13.06,0.467,1,1-7-0
618,T_39 T_01 T_11 T_00 T_05,0.481,93.4,2.999,3,1-7-0
619,T_33 T_29 T_39 T_37 T_35,0.224,14.42,0.71,4,0-8-3
620,T_29 T_39 T_33 T_22 T_27,-0.79,20.44,1.737,2,1-8-0
621,T_34 T_14 T_29 T_39,0.471,24.63,0.634,1,0-8-3
622,T_29 T_33 T_32 T_21 T_39,1.882,93.3,1.107,3,0-8-0
623,T_29 T_00 T_39 T_05,1.345,75.57,0.465,2,0-8-3
624,T_39 T_32 T_22 T_01 T_35,1.593,78.97,2.005,2,0-3-0
625,T_39 T_12 T_37 T_22 T_35,-0.511,10.48,1.109,1,0-7-3
626,T_00 T_22 T_39 T_35 T_21,-0.99,83.63,0.032,1,0-3-3
627,T_34 T_21 T_14 T_27 T_39,-0.126,40.82,0.057,1,1-5-0
628,T_32 T_39 T_17 T_27,0.056,26.28,1.274,1,1-5-2
629,T_39 T_13 T_27 T_12,1.094,57.58,0.405,3,1-7-0
630,T_00 T_21 T_39 T_27,-1.692,82.22,1.759,1,1-5-0
631,T_39 T_01 T_32 T_34,1.53,77.87,1.049,1,0-3-0
632,T_39 T_00 T_34 T_37,-0.158,89.0,2.125,1,0-3-3
633,T_00 T_39 T_32 T_01,-0.427,92.81,6.09,3,0-3-0
634,T_39 T_00 T_01 T_12,-1.012,23.81,1.505,4,0-7-3
635,T_22 T_14 T_36 T_03 T_19,-1.655,42.39,3.096,2,1-8-1
636,T_05 T_21 T_38 T_19 T_36,0.823,1.46,2.797,5,1-8-1
637,T_19 T_01 T_36 T_37 T_10,0.073,87.93,5.097,2,0-8-3
638,T_22 T_36 T_02 T_19 T_01,-1.29,15.46,0.482,3,0-8-1
639,T_19 T_15 T_21 T_36,-1.295,86.15,3.513,1,0-8-2
640,T_36 T_30 T_19 T_17,-0.336,32.94,4.719,3,1-8-2
641,T_28 T_33 T_19 T_36 T_01,1.669,36.81,0.998,4,1-8-3
642,T_22 T_36 T_16 T_19,-0.26,3.91,0.753,5,1-8-2
643,T_19 T_36 T_17 T_06,-1.503,32.69,6.075,4,0-8-3
644,T_19 T_25 T_36 T_37,-0.246,88.84,1.976,1,1-8-0
645,T_19 T_07 T_36 T_17 T_33,-0.273,2.55,0.958,3,1-8-0
646,T_37 T_23 T_19 T_36,-2.697,40.63,3.139,3,1-8-3
647,T_33 T_36 T_31 T_19,-0.054,3.14,0.726,1,1-8-2
648,T_26 T_13 T_37 T_36 T_19,-0.231,37.09,0.388,1,1-8-0
649,T_19 T_36 T_29 T_33,0.696,17.26,1.57,5,0-8-1
650,T_19 T_35 T_05 T_36 T_21,1.849,25.22,1.67,4,0-8-1
651,T_36 T_19 T_13 T_01 T_27,1.127,87.76,3.494,1,1-8-3
652,T_17 T_36 T_19 T_34,-0.269,43.6,1.221,1,0-8-1
653,T_32 T_19 T_22 T_36 T_37,-1.107,27.38,3.37,4,0-8-3
654,T_19 T_13 T_36 T_00,2.573,58.93,0.746,1,0-8-1
655,T_03 T_02 T_33 T_36,0.059,14.21,1.713,5,1-8-2
656,T_15 T_03 T_36 T_33 T_13,0.014,25.94,0.468,5,1-8-3
657,T_03 T_33 T_30 T_36,-0.024,54.62,0.974,4,0-8-3
658,T_22 T_36 T_28 T_03 T_05,0.198,23.75,3.897,2,0-8-4
659,T_03 T_36 T_17 T_22 T_25,-0.144,67.91,0.487,5,0-8-1
660,T_20 T_22 T_17 T_36 T_03,-0.574,49.15,3.324,3,1-9-3
661,T_14 T_07 T_03 T_36,-0.547,77.2,0.665,3,0-8-1
662,T_03 T_36 T_21 T_09 T_05,-0.033,94.82,0.07,2,0-8-1
663,T_05 T_01 T_03 T_36 T_23,-0.543,11.58,0.233,5,0-8-4
664,T_01 T_36 T_03 T_24 T_05,-0.713,33.47,2.74,1,1-8-3
665,T_14 T_36 T_31 T_03 T_05,0.106,31.95,0.608,2,0-8-3
666,T_13 T_36 T_26 T_03,-0.255,15.12,2.123,1,0-8-1
667,T_08 T_01 T_36 T_11 T_03,1.504,81.03,2.403,3,0-8-4
668,T_36 T_35 T_14 T_21 T_03,-2.651,75.99,0.847,2,1-8-2
669,T_03 T_01 T_36 T_08 T_27,1.092,48.44,1.288,5,0-8-4
670,T_13 T_03 T_32 T_36 T_22,1.246,53.78,1.034,3,1-8-4
671,T_03 T_21 T_36 T_12,-2.073,5.95,5.888,5,1-8-2
672,T_14 T_03 T_36 T_22 T_00,-0.343,55.55,0.771,1,1-8-2
673,T_21 T_38 T_13 T_10 T_36,-0.371,79.13,0.405,5,1-8-4
674,T_38 T_01 T_36 T_02,-1.408,57.38,0.91,2,1-8-2
675,T_05 T_38 T_01 T_15 T_36,-0.778,26.53,2.214,1,1-8-3
676,T_36 T_38 T_33 T_30,-1.111,66.75,2.39,2,0-8-3
677,T_28 T_14 T_36 T_38,1.752,36.15,5.156,1,0-8-4
678,T_36 T_38 T_16 T_08,0.936,54.49,4.27,2,0-8-3
679,T_36 T_06 T_37 T_22 T_38,1.272,48.76,0.68,3,1-8-4
680,T_17 T_25 T_38 T_36 T_05,0.722,38.12,1.215,2,0-8-1
681,T_20 T_36 T_38 T_01 T_05,-1.129,71.89,2.751,3,1-9-3
682,T_07 T_36 T_38 T_33,-0.525,88.39,4.967,4,0-8-1
683,T_36 T_17 T_01 T_38 T_09,0.489,0.52,0.822,5,0-8-1
684,T_38 T_23 T_08 T_36 T_14,-1.222,93.36,1.176,1,0-8-4
685,T_24 T_38 T_36 T_33 T_13,0.713,51.15,4.595,5,1-8-3
686,T_36 T_22 T_38 T_26,-0.24,70.07,0.888,3,0-8-1
